text,label,source,split
كثيرا ما ارتبطت المصادر التاريخية في الأندلس خاصة منها كتب التراجم والفهرسات والبرامج وغيرها بدراسة حياة العلماء والرواة والقضاة والساسة ؛ وقد تطورت هذه المادة حتى ترك لنا المؤلفون الأندلسيون سلسلة متواصلة الحلقات من كتب التـراجم كالصلة لابن بشكوال ، وصلة الصلة لابن الزبير، والتكملة لكتاب الصلة لابن الآبار، والذيل والتكملة لكتابي الموصول والصلة لابن عبد الملك المراكشي إضافة إلى الإحاطة في أخبار غرناطة لابن الخطيب ، إلا أنها لم تنس أن تشير في ثنايا أو بالأحرى في خواتم هذه المؤلفات إلى فئة المرأة العالمة التي ساهمت في الإنتاج الفكري والحضاري الأندلسي. ومن خلالها سنسعى إلى الوقوف على حالة التعليم عند المرأة الأندلسية ، وكيف كانت تأخذ فنون العلم. وما مدى إسهامها في الفكر التربوي والإنتاج الفكري الأندلسيين ؟.,human,original_abstract,by_polishing
يعد العامل الثقافي احد ابرز الاسباب التي يعزى لها سقوط الدولة الموحدية ، حتى أنه لايقل من حيث التأثير عن بقية العوامل خاصة السياسية و العسكرية ، فالتركيب الفكري لعقيدة ابن تومرت التي اعتبرت الركيزة الاساسية لقيام دولة الموحدين احتوى على تناقضات عقدية و فكرية و تشريعية فادحة ، جعلتها عرضة للانتقاد من مختلف التيارات الاجتماعية بما فيها السلطة الحاكمة التي تخلت نهائيا عن المنهج الفكري التومرتي على عهد الخليفة المأمون في تجسيد فعلي لتطلعات الفقهاء المالكية الذين كانوا الخصوم الاوائل لها سواءا على المستوى التشريعي الممثل في الردود العلمية في شكل مؤلفات أو على مستوى التحركات الثورية المسلحة ضد السلطة التي قادها الفقهاء ، ناهيك عن الدور الذي لعبه التيار الصوفي في تقويض اركان الدولة الموحدية التي امتحنت العديد من المتصوفة بل و قتلت بعضهم ، ما جعلة يتخندق الى جانب القوى المناوئة للسلطة و التي كان لها بالغ الاثر في انهيارها.,human,original_abstract,by_polishing
شكلت تلك الجهود والمساعي الرائدة التي قام بها قادة الثورة خلال مرحلتها الأولى (1954-1956) للبحث عن مصادر لتمويل الثورة بالأسلحة والذخيرة سواء في الداخل انطلاقا من المناطق الحدودية الشرقية والغربية (المنطقة الأولى والثانية والخامسة)بفضل الدور البارز الذي لعبه كل من: مصطفى بن بولعيد، وعباس لغرور، ولزهر شريط وعمارة العسكري(بوقلاز)ومحمد العربي بن مهيدي، أوفي الخارج بفضل جهود أحمد بن بلة، وعلي مهساس، وقاضي بشير؛ بالإضافة إلى دور محمد بوضياف الذي تكلَّف بمهمة التَّسليح على الجبهة الغربية بالتعاون والتنسيق مع محمد العربي بن مهيدي؛ الأرضية لمشروع إمداد الثورة بالسلاح والذخيرة الذي تجسدت معالمه بعد صائفة 1956،من خلال النَّشاط الحيوي لشبكات الدَّعم اللوجيستيكي في عمليات الإمداد بالأسلحة والذخيرة الذي عرفته الثورة التحريرية على الجبهتين البريَّة والبحريَّة انطلاقا من قواعد عسكرية خلفية للإمداد في طرابلس وتونس ووجده والناظور، ثم قواعد ومراكز حدودية للتموين في الشرق والغرب لتصل إلى المقاتلين في الولايات الداخلية بواسطة قوافل للتسليح عبر مسالك وممرات برية، أو خطوط إمداد بحرية تربط شبكة التَّسليح في الخارج (أوربا والمشرق العربي) ببعض الموانئ في الغرب الجزائري والسواحل المغربية. وانطلاقا من المادة التاريخية المتوفرة ،سنحاول من خلال هذه الدراسة التركيز على عمليات إمداد الثورة بالأسلحة والذخيرة على الجبهة البريَّة مع رصد أهم المسالك والممرات عبر الحدود الغربية التي شكلت المنافذ الحساسة لتهريب الأسلحة القادمة من وأوربا والمغرب..,human,original_abstract,by_polishing
يقوم المقال على اشكالية الضرائب الغير شرعية في مختلف مراحل دولتي المرابطين والموحدين أي منذ القيام إلى السقوط، وأثرها على طبيعة علاقتهما مع الرعية. وقد وجدنا أن المرابطين قد تراجعوا عن مبدأ إلغاء الضرائب الغير الشرعية منذ بدايات حركتهم، إلا أن هذه الظاهرة تدرجت نحو التفاقم مع انتقال المرابطين من حركة دينية إلى ملك سياسي، وهذا ما انعكس على علاقة الدولة بالرعية، حتى أن الكثير من المؤرخين اعتبروا الضرائب الغير شرعية من أهم العوامل التي عجلت بسقوط دولة المرابطية. أما الموحدون اكتفوا بالضرائب الشرعية دون سواها، وبهذا استطاع الموحدون تجاوز مشكل الضرائب الغير شرعية رغم بعض التجاوزات لعمالهم في جمع الضرائب، لذا يمكننا أن نقر بأن النظام الضريبي الموحدي كان أكثر تنظيما من سابقه.,human,original_abstract,by_polishing
تتفق المصادر التاريخية المتوفرة حول موضوع تطور الحركة الوطنية الجزائرية بعد نهاية الحرب العالمية الثانية1945،على أن الأزمة المزمنة التي عصفت بهياكل (حركة الانتصار للحريات الديمقراطية)MTLD خلال مؤتمرها الثاني الذي انعقد أيام 4،5،6 أفريل1953،لم تكن وليدة حينها بل نتيجة عدة مشاكل وأزمات لم يتم تسويتها في وقتها الأمر الذي زاد من استفحالها عندما اتضحت المسائل الجوهرية في طبيعة النزاع بين اللجنة المركزية ومصالي الحاج وأنصاره واتخاذ دعاة العمل المسلح موقفا معارضا من الطرفين وتبلور المشروع العسكري الذي بلغ مستوى من النضج في خضم مرحلة مخاض عسير انتهى بميلاد فصل ثوري عرف باللجنة الثورية للوحدة والعمل(CRUA)في مارس 1954 تلك اللجنة التي أخذت على عاتقها مسؤولية الإعداد الفعلي لتفجير الثورة في خريف 1954وفي هذا السياق يشير المناضل محمد بوضياف بأن الشروع في العمل المسلح كان أنسب حل لإنقاذ الحركة الوطنية الجزائرية من المأزق الذي وقعت فيه.,human,original_abstract,by_polishing
تعددت صور الحياة الثقافية و الفكرية و الأدبية في هذا العصر وارتبطت بواقعهم الحضاري الذي حدثت فيه طفرة نوعية كبيرة حين عد عصرهم بداية لازدهار ثقافي و علمي و أدبي لم يشهد له المغرب مثيلا من قبل، وهذا يعود أساسا إلى أن أمراء الدولة كانوا أهل علم وثقافة أولوا كبير الاهتمام برجالات الأدب والفكر و جميع علوم عصرهم... وفي ظل سلطان عالم نشأت حركة ثقافية وفكرية وأدبية عاكسة للأوضاع السائدة ،أسهمت في النهوض بأدب وثقافة المنطقة وازدهارها حتى نافست بلاد المشرق والأندلس، ولهذا اعتبر الكثير من الدارسين هذه الفترة مرحلة مهمة في تاريخ الأدب المغربي القديم عرفت بعصر الازدهار الثقافي والأدبي، و الفضل يعود للسلطة الحاكمة العارفة وسياستها الاستشرافية الرشيدة في بناء الفكر العقلي البشري المنتج.,human,original_abstract,by_polishing
تروم هذه المحاولة العلمية المتواضعة رصد ملامح التحولات النضالية التي عرفتها الجزائر مع بزوغ القرن العشرين، حيث لجأ الجزائريون إلى تغيير نمط تصديهم للمحتلين الفرنسيين باستبدال طريقة المواجهة المسلحة بالمقاومة السلمية، فكان أن ظهرت أشكال نضالية متعددة لم يسبق للوطنيين تجريبها فقد كانت حكرا على المستوطنين الأوربيين، ومن بين تلك الأساليب نزول الحشود الجماهيرية إلى الساحات العامة والشوارع في حركة مظاهرات تستهدف إسماع الصوت الجزائري المغيب، ودفع السلطات الفرنسية إلى القيام بمراجعات لسياساتها المطبقة على أبناء البلد.تعكس تجربة المظاهرات الشعبية ذلك الزخم الذي ميّز الحياة السياسية الوطنية في النصف الأول من القرن العشرين بما أبان عن تطور كبير في مستويات الوعي والإدراك لدى الفئات العريضة من الجزائريين الذين كانوا سباقين إلى صناعة مشهد جديد غير مألوف في علاقة الأهالي بالمعمرين.,human,original_abstract,by_polishing
يعالج هذا المقال الإطار التنسيقي بين المنظمات الطلابية لكل من تونس والجزائر والمغرب الأقصى، والذي توج بظهور كونفدرالية الشمال الإفريقي للطلبة، والتي كان تأسيسها قد تزامن مع العديد من التطورات التي شهدتها الثورة الجزائرية على الصعيد العسكري والسياسي والطلابي بظهور الحكومة المؤقتة للجمهورية الجزائرية، وعلى الصعيد الطلابي ما لحق الطلبة الجزائريين في فرنسا، وحل الاتحاد للطلبة المسلمين الجزائريين في جانفي 1958، فأخذت هذه الكونفدرالية على عاتقها مهمة التنسيق بين المنظمات الثلاث والعمل في المجال الطلابي والدبلوماسي خدمة للقضية الجزائرية، فأتاحت بذلك بديلا مناسبا للطلبة الجزائريين للنشاط على الصعيد الدولي.,human,original_abstract,by_polishing
يتناول هذا المقال بالدرس، اقتصاد الأندلس المبني على الغزو في صورة غنائم تراوحت بين المنقولة (العينية) والغير منقولة (عقارات وغيرها من الملكيات)، وتمتد فترة الدراسة من سنة 91ه، باعتبارها بداية إرسال الحملات الاستطلاعية إليها، وتنتهي بسنة 138ه، باعتبارها السنة الفعلية لانفصال الأندلس نهائيا عن الخلافة العباسية في المشرق، وقد شهدت هذه الفترة اعتمادا شبه كليا على الريع المتمثل في غنائم الحرب، ولئن تراجع هذا الاقتصاد في بعض الفترات بمجرد الفتح في المشرق باعتباره ظرفي ومتوقف على أسلوب الفتح والمناطق التي تم فتحها، فانه في الأندلس بقي مستمرا طيلة ثمانية قرون، وهذا باعتبار الأندلس كانت منطقة ثغرية يحيط بها النصارى المتربصين من الشمال، بل ومن جميع الجهات باعتبار أرضها وحدودها مفتوحة برا وبحرا.,human,original_abstract,by_polishing
نعالج في هذا الموضوع المعنون ب«الثورة التحريرية بالجنوب الغربي الجزائري (المنطقة الثامنة من الولاية الخامسة) منطقة العين الصفراء – أنموذجا - شهادة حية للمجاهد خليفي بونوة (ملازم بجيش التحرير الوطني) »أهم العمليات المسلحة التي قامت بها قوات جيش التحرير الوطني بمنطقة العين الصفراء من خلال سرد أحداث ووقائع بعض المعارك وهي: - معركة جبل عيسى 1957 -1958 ؛معركة جبل بني سمير –واد سيدي سعيد 1960 ؛معركة جبل بني سمير –كلخابو أواخر سنة 1960 ؛معركة العرجة 1961 ؛عملية اقتحام أحد مراكز العدو بالعين الصفراء.,human,original_abstract,by_polishing
تكن خلال العصور البائدة حدود، ولا أقاليم قائمة الذات، كما هو الحال الآن. كل أرض كانت تأخذ اسم سكانها، سواء كانت البنية الاجتماعية فيها قبلية، أو عشائرية، أو عائلية. تغير ويغار عليها، تعيش الترحال والانتقال، ربما كان الجنس البشري آن ذاك مولعا باكتشاف نقط كوكب الأرض، فتزيد مساحة هذه البلاد أو تتقلص حسب توسع أهلها، الحروب مستمرة والاقتتال من أجل البقاء والتملك دائم فيتوسع أقوام على حساب آخرين، وتنقرض حضارات لتحل محلها أخرى .. سال مداد كثير ولايزال، عن تواجد الجنس البشري وتطوره ككائن يسعى بشكل دائم للمعرفة واكتشاف الآفاق البعيدة، لكن لا أحد يمكنه الجزم بامتلاك الحقيقة، حقيقة الصراع القائم منذ الأزل هو ذاته الصراع من أجل السلطة، قد تختلف مظاهره ويبقى عمقه واحدا لا يتغير ولا يتبدل..,human,original_abstract,by_polishing
يعتبر علم التاريخ ذلك الفرع من المعرفة الإنسانية الذي يستهدف استقراء أحداث الماضي وتحقيقها وتسجيلها محاولا إبراز الترابط بينها وتوضيح العلاقات القائمة بينها،فكان بذلك الذاكرة القومية للفرد والمجتمع على حد سواء،ولن تتأسس هذه القيمة إلا بما تقدمه فلسفة التاريخ من قراءة كلية واعية تستنبط المعنى من جملة الأحداث التاريخية الجزئية لتؤكد دور الوعي التاريخي في تكريس ثوابت المجتمع وأسس وجوده وتفتح الطريق أمامه لاستشراف المستقبل وتحقيق التقدم والرقي. ونظرا لهذه الأهمية لم يغفل مؤرخو الجزائر تأكيد دور الوعي التاريخي في تشييد المقاومة الثقافية الى جانب المقاومة العسكرية والمسلحة وتكريس مرتكزات شخصية المجتمع الجزائري ومقوماته،ومن بين هؤلاء شيخ المؤرخين الجزائريين الدكتور أبو القاسم سعد الله(1930-2013) الذي مافتئ يردد في كتاباته وأبحاثه ضرورة فهم تاريخ الجزائر وأخذ العبر منه ،وهذا لن يتم في نظره إلا بالوعي التاريخي،ولمعالجة هذا هذه القضية الفكرية جاءت هذه الورقة البحثية لتتوغل في أعماق فلسفة التاريخ عنده،لذا فالإشكال المطروح:كيف يساهم الوعي التاريخي في تشكيل المقاومة الثقافية من منظور أبي القاسم سعد الله ؟وأين تتجلى مظاهر المقاومة في فلسفة التاريخ عنده ؟.,human,original_abstract,by_polishing
نذ البدايات الأولى للاحتلال الفرنسي للجزائر ظهرت موجة من هجرات الجزائريين نحو تونس هذه الهجرات أعقبت رحيل القوات الانكشارية إلى تركيا، بعد تجريدها من السلاح، وتلاها خروج الداي حسين وحاشيته وأعيان العاصمة والمدن الكبرى سنة 1830م، وكان الدافع الرئيسي لهذه الهجرات هو الرفض لسيادة المحتل الكافر على صاحب الأرض المسلم، لذا لم تكن الهجرة غاية في حد ذاتها، لكنها كانت وسيلة لجأ إليها الجزائريون نتيجة الأوضاع السيئة التي آلت إليها البلاد بسبب القهر الذي مارسه المستعمر الفرنسي على السكان، وهذا ما دفع بالعديد من الأفراد والعائلات إلى الهجرة، ولمغادرة الجزائر للالتحاق بتونس خصوصا والمشرق العربي عموما وقد تعددت أسباب ذلك، فمنهم من كانت دوافعه دينية ومنهم من كانت دوافعه علمية، إضافة إلى أسباب اقتصادية واجتماعية وسياسية، وفي هذا المقال سنتناول الهجرات الدينية والعلمية للجزائريين خلال الحقبة الاستعمارية..,human,original_abstract,by_polishing
يعد التراث الحضاري لأي أمة من الأمم الأساس الذي تبنى عليه مكانتها، وتحدد به هويتها ومسيرتها، كما يتعرف من خلاله على مدى عراقتها في التاريخ، ونوعية إسهامات رجالها في حركته، ومدى تأثيرها فيه. تهدف هذه الدراسة إلى إبراز أهمية التراث العربي المخطوط، وهو تراث غزير متنوع وقد اكتسب موقعا مميزا في الحضارة الإنسانية بما قدمه من المعرفة، وقد كان له الفضل في المساهمة في بناء الحضارة الإنسانية ، وسنحاول في هذه الدراسة التطرق إلى النقاط الآتية: أهمية التراث العربي المخطوط و دراسة المخطوط العربي والصفات التي يتوجب أن تتوفر في المحقق ، والى جملة من الصعوبات التي تعترض سبيل المحقق في تحقيق المخطوط ونشره.,human,original_abstract,by_polishing
